timestamp,ip,mac,packet_rate,port_count,unique_ports,scan_score,label
2026-01-21 13:33:34,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:33:40,192.168.10.20,d0:39:fa:e8:c3:30,0.99,6,0,0,0
2026-01-21 13:33:40,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-21 13:33:46,192.168.10.20,d0:39:fa:e8:c3:30,0.66,4,0,0,0
2026-01-21 13:33:46,192.168.10.1,e4:fd:45:45:f8:c1,0.49,3,0,0,0
2026-01-21 13:33:52,192.168.10.20,d0:39:fa:e8:c3:30,0.17,1,0,0,0
2026-01-21 13:33:52,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-21 13:33:58,192.168.10.20,d0:39:fa:e8:c3:30,1.82,11,0,0,0
2026-01-21 13:33:58,192.168.10.1,e4:fd:45:45:f8:c1,0.5,3,0,0,0
2026-01-21 13:34:04,192.168.10.20,d0:39:fa:e8:c3:30,2.97,18,0,30,0
2026-01-21 13:34:10,192.168.10.20,d0:39:fa:e8:c3:30,1.32,8,0,0,0
2026-01-21 13:34:10,192.168.10.1,e4:fd:45:45:f8:c1,0.16,1,0,0,0
2026-01-21 13:34:16,192.168.10.20,d0:39:fa:e8:c3:30,1.15,7,0,0,0
2026-01-21 13:34:16,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:34:22,192.168.10.20,d0:39:fa:e8:c3:30,0.82,5,0,0,0
2026-01-21 13:34:22,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:34:28,192.168.10.20,d0:39:fa:e8:c3:30,1.16,7,0,0,0
2026-01-21 13:34:29,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:34:35,192.168.10.20,d0:39:fa:e8:c3:30,1.32,8,0,0,0
2026-01-21 13:34:35,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:34:41,192.168.10.20,d0:39:fa:e8:c3:30,0.49,3,0,0,0
2026-01-21 13:34:41,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:34:47,192.168.10.20,d0:39:fa:e8:c3:30,1.82,11,0,0,0
2026-01-21 13:34:53,192.168.10.20,d0:39:fa:e8:c3:30,0.66,4,0,0,0
2026-01-21 13:34:53,192.168.10.1,e4:fd:45:45:f8:c1,0.16,1,0,0,0
2026-01-21 13:35:05,192.168.10.20,d0:39:fa:e8:c3:30,1.66,10,0,0,0
2026-01-21 13:35:05,192.168.10.1,e4:fd:45:45:f8:c1,0.5,3,0,0,0
2026-01-21 13:35:11,192.168.10.20,d0:39:fa:e8:c3:30,1.16,7,0,0,0
2026-01-21 13:35:11,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:35:17,192.168.10.20,d0:39:fa:e8:c3:30,0.82,5,0,0,0
2026-01-21 13:35:17,192.168.10.1,e4:fd:45:45:f8:c1,0.16,1,0,0,0
2026-01-21 13:35:23,192.168.10.20,d0:39:fa:e8:c3:30,0.66,4,0,0,0
2026-01-21 13:35:23,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:35:29,192.168.10.20,d0:39:fa:e8:c3:30,1.16,7,0,0,0
2026-01-21 13:35:29,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:35:35,192.168.10.20,d0:39:fa:e8:c3:30,1.32,8,0,0,0
2026-01-21 13:35:35,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:35:42,192.168.10.20,d0:39:fa:e8:c3:30,0.99,6,0,0,0
2026-01-21 13:35:42,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-21 13:35:48,192.168.10.20,d0:39:fa:e8:c3:30,2.64,16,0,0,0
2026-01-21 13:35:48,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:35:54,192.168.10.20,d0:39:fa:e8:c3:30,1.82,11,0,0,0
